VehicleID,Amount (Million Naira)
VHL18518,1.0
VHL17149,1.0
VHL10927,1.0
VHL12909,1.0
VHL12348,1.0
VHL10798,1.0
VHL11022,1.0
VHL12206,1.0
VHL11697,1.0
VHL12313,1.0
VHL13411,1.0
VHL14334,1.0
VHL14302,1.0
VHL13979,1.0
VHL12272,1.0
VHL15071,1.0
VHL19166,1.0
VHL10471,1.0
VHL18431,1.0
VHL12325,1.0
VHL15657,1.0
VHL13667,1.0
VHL18913,1.0
VHL13273,1.0
VHL16576,1.0
VHL15506,1.0
VHL10460,1.0
VHL16050,1.0
VHL17918,1.0
VHL12992,1.0
VHL10261,1.0
VHL18348,1.0
VHL11577,1.0
VHL16957,1.0
VHL16165,1.0
VHL11441,1.0
VHL19990,1.0
VHL14072,1.0
VHL13637,1.0
VHL10757,1.0
VHL12657,1.0
VHL19939,1.0
VHL12094,1.0
VHL17177,1.0
VHL16720,1.0
VHL11478,1.0
VHL14386,1.0
VHL11341,1.0
VHL18683,1.0
VHL13430,1.0
VHL18932,1.0
VHL17505,1.0
VHL16272,1.0
VHL14777,1.0
VHL13186,1.0
VHL19383,1.0
VHL14605,1.0
VHL11440,1.0
VHL14303,1.0
VHL19478,1.0
VHL17837,1.0
VHL12824,1.0
VHL17476,1.0
VHL18988,1.0
VHL19482,1.0
VHL13263,1.0
VHL17078,1.0
VHL19170,1.0
VHL18070,1.0
VHL18061,1.0
VHL10726,1.0
VHL19212,1.0
VHL13283,1.0
VHL14023,1.0
VHL16973,1.0
VHL19653,1.0
VHL18605,1.0
VHL13287,1.0
VHL15719,1.0
VHL19636,1.0
VHL11009,1.0
VHL18087,1.0
VHL14422,1.0
VHL15789,1.0
VHL12369,1.0
VHL15812,1.0
VHL18767,1.0
VHL19271,1.0
VHL17403,1.0
VHL12967,1.0
VHL19998,1.0
VHL12336,1.0
VHL10328,1.0
VHL18908,1.0
VHL11127,1.0
VHL12655,1.0
VHL19086,1.0
VHL10384,1.0
VHL15712,1.0
VHL11054,1.0
VHL16505,1.0
VHL10534,1.0
VHL14120,1.0
VHL10206,1.0
VHL13595,1.0
VHL15887,1.0
VHL12672,1.0
VHL19770,1.0
VHL13026,1.0
VHL12635,1.0
VHL14014,1.0
VHL19238,1.0
VHL18156,1.0
VHL13087,1.0
VHL13743,1.0
VHL19323,1.0
VHL16129,1.0
VHL17626,1.0
VHL14525,1.0
VHL15597,1.0
VHL19429,1.0
VHL14074,1.0
VHL17422,1.0
VHL11861,1.0
VHL19828,1.0
VHL14000,1.0
VHL12312,1.0
VHL16257,1.0
VHL14859,1.0
VHL16048,1.0
VHL14039,1.0
VHL10296,1.0
VHL14949,1.0
VHL17034,1.0
VHL17149,1.0
VHL19677,1.0
VHL14433,1.0
VHL16582,1.0
VHL10059,1.0
VHL17140,1.0
VHL10364,1.0
VHL16932,1.0
VHL18587,1.0
VHL13635,1.0
VHL18371,1.0
VHL19622,1.0
VHL18669,1.0
VHL17359,1.0
VHL19788,1.0
VHL19078,1.0
VHL12673,1.0
VHL17895,1.0
VHL18950,1.0
VHL13562,1.0
VHL11306,1.0
VHL15496,1.0
VHL11927,1.0
VHL10392,1.0
VHL14124,1.0
VHL12586,1.0
VHL12895,1.0
VHL18481,1.0
VHL11310,1.0
VHL15810,1.0
VHL16037,1.0
VHL19627,1.0
VHL11152,1.0
VHL17698,1.0
VHL19815,1.0
VHL18192,1.0
VHL19720,1.0
VHL11686,1.0
VHL18649,1.0
VHL12765,1.0
VHL10026,1.0
VHL11001,1.0
VHL13433,1.0
VHL17827,1.0
VHL12344,1.0
VHL17308,1.0
VHL18722,1.0
VHL17199,1.0
VHL15338,1.0
VHL16946,1.0
VHL11039,1.0
VHL18017,1.0
VHL15945,1.0
VHL14724,1.0
VHL15314,1.0
VHL14276,1.0
VHL17883,1.0
VHL14385,1.0
VHL18665,1.0
VHL15936,1.0
VHL19518,1.0
VHL13530,1.0
VHL17861,1.0
VHL10966,1.0
VHL11652,1.0
VHL16641,1.0
VHL12017,1.0
VHL14856,1.0
VHL16801,1.0
VHL16814,1.0
VHL13748,1.0
VHL13104,1.0
VHL10022,1.0
VHL14787,1.0
VHL19015,1.0
VHL11089,1.0
VHL13873,1.0
VHL15486,1.0
VHL13253,1.0
VHL15232,1.0
VHL18914,1.0
VHL14922,1.0
VHL14541,1.0
VHL15820,1.0
VHL10710,1.0
VHL11752,1.0
VHL13868,1.0
VHL17442,1.0
VHL14571,1.0
VHL17155,1.0
VHL11093,1.0
VHL18280,1.0
VHL18425,1.0
VHL10175,1.0
VHL15307,1.0
VHL18062,1.0
VHL18972,1.0
VHL11185,1.0
VHL10343,1.0
VHL10450,1.0
VHL19621,1.0
VHL14502,1.0
VHL12768,1.0
VHL19922,1.0
VHL10824,1.0
VHL16646,1.0
VHL15462,1.0
VHL15801,1.0
VHL10322,1.0
VHL15613,1.0
VHL17756,1.0
VHL16186,1.0
VHL19061,1.0
VHL13446,1.0
VHL10599,1.0
VHL18255,1.0
VHL17948,1.0
VHL17616,1.0
VHL17664,1.0
VHL18299,1.0
VHL18959,1.0
VHL10473,1.0
VHL17271,1.0
VHL19798,1.0
VHL17935,1.0
VHL10245,1.0
VHL15041,1.0
VHL15001,1.0
VHL16287,1.0
VHL13974,1.0
VHL15764,1.0
VHL18888,1.0
VHL14882,1.0
VHL19424,1.0
VHL13785,1.0
VHL10783,1.0
VHL19808,1.0
VHL18890,1.0
